INFO  - 2016-06-09 15:23:03.604; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-06-09 15:23:03.634; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\Users\BaezGMa\Downloads\solr-4.4.0 (1)\solr-4.4.0\example\contexts at interval 0
INFO  - 2016-06-09 15:23:03.654; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\Users\BaezGMa\Downloads\solr-4.4.0 (1)\solr-4.4.0\example\contexts\solr-jetty-context.xml
INFO  - 2016-06-09 15:23:03.744; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/example/webapps/solr.war!/ to C:\Users\BaezGMa\Downloads\solr-4.4.0 (1)\solr-4.4.0\example\solr-webapp\webapp
INFO  - 2016-06-09 15:23:07.286; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-06-09 15:23:07.416; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-06-09 15:23:07.436; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-06-09 15:23:07.436; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-06-09 15:23:07.446; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-06-09 15:23:07.576; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\Users\BaezGMa\Downloads\solr-4.4.0 (1)\solr-4.4.0\example\solr\solr.xml
INFO  - 2016-06-09 15:23:07.676; org.apache.solr.core.SolrCoreDiscoverer; Looking for cores in C:\Users\BaezGMa\Downloads\solr-4.4.0 (1)\solr-4.4.0\example\solr
